word|count|in title 1|% 1|in title 1 diff|in title 2|% 2|attribute type
multipanel|14|0|0.00%|14|0|0.00%|[]
fj|14|0|0.00%|14|0|0.00%|[]
9929|14|0|0.00%|14|0|0.00%|[]
eternal|14|0|0.00%|14|0|0.00%|[]
architecs|14|0|0.00%|14|0|0.00%|[]
buth|14|0|0.00%|14|0|0.00%|[]
swu|14|0|0.00%|14|0|0.00%|[]
lader|14|0|0.00%|14|0|0.00%|[]
lattace|14|0|0.00%|14|0|0.00%|[]
combon|14|0|0.00%|14|0|0.00%|[]
standard/|14|0|0.00%|14|0|0.00%|[]
21'|14|0|0.00%|14|0|0.00%|[]
sorage|14|0|0.00%|14|0|0.00%|[]
kitchenmaid|14|0|0.00%|14|0|0.00%|[]
inove|14|0|0.00%|14|0|0.00%|[]
sconses|14|0|0.00%|14|0|0.00%|[]
realistic|14|0|0.00%|14|0|0.00%|['Bullet06', 'Bullet02']
lighter|14|0|0.00%|14|0|0.00%|[]
battwery|14|0|0.00%|14|0|0.00%|[]
strada|14|0|0.00%|14|0|0.00%|[]
flowise/|14|0|0.00%|14|0|0.00%|[]
bill|14|0|0.00%|14|0|0.00%|[]
autofeeder|14|0|0.00%|14|0|0.00%|[]
9-10|14|0|0.00%|14|0|0.00%|[]
4by4|14|0|0.00%|14|0|0.00%|[]
44/100|14|0|0.00%|14|0|0.00%|[]
surebond|14|0|0.00%|14|0|0.00%|[]
1/4x6|14|0|0.00%|14|0|0.00%|[]
50152664|14|0|0.00%|14|0|0.00%|[]
dhower|14|0|0.00%|14|0|0.00%|[]
478|14|0|0.00%|14|0|0.00%|[]
76x34|14|0|0.00%|14|0|0.00%|[]
2hp|14|0|0.00%|14|0|0.00%|[]
lgf6tc|14|0|0.00%|14|0|0.00%|[]
tgi|14|0|0.00%|14|0|0.00%|[]
100feet|14|0|0.00%|14|0|0.00%|[]
artesian|14|0|0.00%|14|0|0.00%|[]
residentialsteel|14|0|0.00%|14|0|0.00%|[]
buildng|14|0|0.00%|14|0|0.00%|[]
17'|14|0|0.00%|14|0|0.00%|[]
dame|14|0|0.00%|14|0|0.00%|[]
carpeted|14|0|0.00%|14|0|0.00%|[]
commercail|14|0|0.00%|14|0|0.00%|[]
aqua/turquoise|14|0|0.00%|14|0|0.00%|[]
wider|14|0|0.00%|14|0|0.00%|[]
cordlees|14|0|0.00%|14|0|0.00%|[]
goats|14|0|0.00%|14|0|0.00%|[]
flexable|14|0|0.00%|14|0|0.00%|[]
ull|14|0|0.00%|14|0|0.00%|[]
1-1/2in.|14|0|0.00%|14|0|0.00%|[]
cl|14|0|0.00%|14|0|0.00%|[]
atic|14|0|0.00%|14|0|0.00%|[]
converion|14|0|0.00%|14|0|0.00%|[]
strings|14|0|0.00%|14|0|0.00%|['Bullet01', 'Bullet02']
palermo|14|0|0.00%|14|0|0.00%|[]
hedger|14|0|0.00%|14|0|0.00%|[]
xy_2900600_u|14|0|0.00%|14|0|0.00%|[]
pgdww|14|0|0.00%|14|0|0.00%|[]
1ft.|14|0|0.00%|14|0|0.00%|[]
42x42|14|0|0.00%|14|0|0.00%|[]
washer/top|14|0|0.00%|14|0|0.00%|[]
valances|14|0|0.00%|14|0|0.00%|['Bullet03', 'Bullet07']
20x24x1|14|0|0.00%|14|0|0.00%|[]
main.|14|0|0.00%|14|0|0.00%|[]
versatiube|14|0|0.00%|14|0|0.00%|[]
ventilating|14|0|0.00%|14|0|0.00%|[]
wrp|14|0|0.00%|14|0|0.00%|[]
lasco|14|0|0.00%|14|0|0.00%|[]
cornewr|14|0|0.00%|14|0|0.00%|[]
undercoater|14|0|0.00%|14|0|0.00%|[]
savings|14|0|0.00%|14|0|0.00%|[]
125lb|14|0|0.00%|14|0|0.00%|[]
apt|14|0|0.00%|14|0|0.00%|[]
clogged|14|0|0.00%|14|0|0.00%|['Bullet01']
swffer|14|0|0.00%|14|0|0.00%|[]
4v|14|0|0.00%|14|0|0.00%|[]
panelling|14|0|0.00%|14|0|0.00%|[]
staplers|14|0|0.00%|14|0|0.00%|[]
washout|14|0|0.00%|14|0|0.00%|['Bullet10', 'Bullet07', 'Bullet08']
lightsensor|14|0|0.00%|14|0|0.00%|[]
0|14|0|0.00%|14|0|0.00%|[]
purex|14|0|0.00%|14|0|0.00%|[]
baxksplash|14|0|0.00%|14|0|0.00%|[]
32kw|14|0|0.00%|14|0|0.00%|[]
refinia|14|0|0.00%|14|0|0.00%|[]
2x4x8|14|0|0.00%|14|0|0.00%|[]
refridgidere|14|0|0.00%|14|0|0.00%|[]
3pellet|14|0|0.00%|14|0|0.00%|[]
sweeps|14|0|0.00%|14|0|0.00%|[]
rubberized|14|0|0.00%|14|0|0.00%|[]
baseplate|14|0|0.00%|14|0|0.00%|[]
mikita|14|0|0.00%|14|0|0.00%|[]
contina|14|0|0.00%|14|0|0.00%|[]
manganetic|14|0|0.00%|14|0|0.00%|[]
storeges|14|0|0.00%|14|0|0.00%|[]
plasticbathroom|14|0|0.00%|14|0|0.00%|[]
vetical|14|0|0.00%|14|0|0.00%|[]
portico|14|0|0.00%|14|0|0.00%|[]
quickcrete|14|0|0.00%|14|0|0.00%|[]
juice|14|0|0.00%|14|0|0.00%|[]
27x45|14|0|0.00%|14|0|0.00%|[]
honewell|14|0|0.00%|14|0|0.00%|[]
1.97|14|0|0.00%|14|0|0.00%|[]
outdors|14|0|0.00%|14|0|0.00%|[]
hail|14|0|0.00%|14|0|0.00%|[]
ceramics|14|0|0.00%|14|0|0.00%|[]
rodskit|14|0|0.00%|14|0|0.00%|[]
mirrior|14|0|0.00%|14|0|0.00%|[]
72x80|14|0|0.00%|14|0|0.00%|[]
mepat|14|0|0.00%|14|0|0.00%|[]
614-983|14|0|0.00%|14|0|0.00%|[]
'x|14|0|0.00%|14|0|0.00%|[]
westbrook|14|0|0.00%|14|0|0.00%|[]
industreial|14|0|0.00%|14|0|0.00%|[]
cabiner|14|0|0.00%|14|0|0.00%|[]
monoxcide|14|0|0.00%|14|0|0.00%|[]
skews|14|0|0.00%|14|0|0.00%|[]
scaffolds|14|0|0.00%|14|0|0.00%|[]
elerical|14|0|0.00%|14|0|0.00%|[]
detect|14|0|0.00%|14|0|0.00%|[]
flurniture|14|0|0.00%|14|0|0.00%|[]
pr3-pg3|14|0|0.00%|14|0|0.00%|[]
sized|14|0|0.00%|14|0|0.00%|[]
bestos|14|0|0.00%|14|0|0.00%|[]
cca|14|0|0.00%|14|0|0.00%|[]
beverages|14|0|0.00%|14|0|0.00%|[]
sickest|14|0|0.00%|14|0|0.00%|[]
4|14|0|0.00%|14|0|0.00%|[]
couplings|14|0|0.00%|14|0|0.00%|[]
5in|14|0|0.00%|14|0|0.00%|[]
gazhose|14|0|0.00%|14|0|0.00%|[]
worklight|14|0|0.00%|14|0|0.00%|[]
1/2inch|14|0|0.00%|14|0|0.00%|[]
nicket|14|0|0.00%|14|0|0.00%|[]
cy03|14|0|0.00%|14|0|0.00%|[]
aids|14|0|0.00%|14|0|0.00%|['Bullet06']
overlays|14|0|0.00%|14|0|0.00%|[]
lw6014ery4|14|0|0.00%|14|0|0.00%|[]
520|14|0|0.00%|14|0|0.00%|[]
blenders|14|0|0.00%|14|0|0.00%|['Blender Type']
nozle|14|0|0.00%|14|0|0.00%|[]
stel|14|0|0.00%|14|0|0.00%|[]
redeeming|14|0|0.00%|14|0|0.00%|[]
cealing|14|0|0.00%|14|0|0.00%|[]
timmers|14|0|0.00%|14|0|0.00%|[]
murry|14|0|0.00%|14|0|0.00%|[]
34x45|14|0|0.00%|14|0|0.00%|[]
biax|14|0|0.00%|14|0|0.00%|[]
balist|14|0|0.00%|14|0|0.00%|[]
current|14|0|0.00%|14|0|0.00%|[]
hvm|14|0|0.00%|14|0|0.00%|[]
invertor|14|0|0.00%|14|0|0.00%|[]
6panel|14|0|0.00%|14|0|0.00%|[]
byrgundy|14|0|0.00%|14|0|0.00%|[]
fenceing|14|0|0.00%|14|0|0.00%|[]
charge|14|0|0.00%|14|0|0.00%|[]
8/3|14|0|0.00%|14|0|0.00%|[]
mx-tx-us-w|14|0|0.00%|14|0|0.00%|[]
aerators|14|0|0.00%|14|0|0.00%|[]
barrells|14|0|0.00%|14|0|0.00%|[]
diat|14|0|0.00%|14|0|0.00%|[]
diverer|14|0|0.00%|14|0|0.00%|[]
sidr7|14|0|0.00%|14|0|0.00%|[]
renin|14|0|0.00%|14|0|0.00%|[]
charolettetown|14|0|0.00%|14|0|0.00%|[]
599|14|0|0.00%|14|0|0.00%|[]
apper|14|0|0.00%|14|0|0.00%|[]
curbing|14|0|0.00%|14|0|0.00%|[]
bahr|14|0|0.00%|14|0|0.00%|[]
perscription|14|0|0.00%|14|0|0.00%|[]
boxe|14|0|0.00%|14|0|0.00%|[]
compsit|14|0|0.00%|14|0|0.00%|[]
30volt|14|0|0.00%|14|0|0.00%|[]
airens|14|0|0.00%|14|0|0.00%|[]
ourdoor|14|0|0.00%|14|0|0.00%|[]
sector|14|0|0.00%|14|0|0.00%|[]
502|14|0|0.00%|14|0|0.00%|[]
asbestos|14|0|0.00%|14|0|0.00%|[]
35mm|14|0|0.00%|14|0|0.00%|[]
waxing|14|0|0.00%|14|0|0.00%|['Bullet03']
8x33|14|0|0.00%|14|0|0.00%|[]
4.8x5.3x3.6|14|0|0.00%|14|0|0.00%|[]
54090|14|0|0.00%|14|0|0.00%|[]
kholerhighland|14|0|0.00%|14|0|0.00%|[]
millimeter|14|0|0.00%|14|0|0.00%|[]
regrigerators|14|0|0.00%|14|0|0.00%|[]
ecco|14|0|0.00%|14|0|0.00%|[]
lubers|14|0|0.00%|14|0|0.00%|[]
primered|14|0|0.00%|14|0|0.00%|[]
replaclacemt|14|0|0.00%|14|0|0.00%|[]
colum|14|0|0.00%|14|0|0.00%|[]
swivels|14|0|0.00%|14|0|0.00%|[]
shopvac|14|0|0.00%|14|0|0.00%|[]
5.16|14|0|0.00%|14|0|0.00%|[]
jirdon|14|0|0.00%|14|0|0.00%|[]
coupon|14|0|0.00%|14|0|0.00%|[]
outdoorlounge|14|0|0.00%|14|0|0.00%|[]
elrctric|14|0|0.00%|14|0|0.00%|[]
excellartor|14|0|0.00%|14|0|0.00%|[]
pediments|14|0|0.00%|14|0|0.00%|[]
crutch|14|0|0.00%|14|0|0.00%|[]
as|14|0|0.00%|14|0|0.00%|[]
a2|14|0|0.00%|14|0|0.00%|[]
lfx25765|14|0|0.00%|14|0|0.00%|[]
shirts|14|0|0.00%|14|0|0.00%|['Clothing Product Type']
sc07|14|0|0.00%|14|0|0.00%|[]
lioghting|14|0|0.00%|14|0|0.00%|[]
backet|14|0|0.00%|14|0|0.00%|[]
srew|14|0|0.00%|14|0|0.00%|[]
6'x6'|14|0|0.00%|14|0|0.00%|[]
porach|14|0|0.00%|14|0|0.00%|[]
attractive|14|0|0.00%|14|0|0.00%|['Bullet07']
joinst|14|0|0.00%|14|0|0.00%|[]
handel|14|0|0.00%|14|0|0.00%|[]
bled|14|0|0.00%|14|0|0.00%|[]
hickey|14|0|0.00%|14|0|0.00%|[]
afakro|14|0|0.00%|14|0|0.00%|[]
grainte|14|0|0.00%|14|0|0.00%|[]
dies|14|0|0.00%|14|0|0.00%|['Bullet03', 'Bullet04']
e-drawer|14|0|0.00%|14|0|0.00%|[]
excaust|14|0|0.00%|14|0|0.00%|[]
1540|14|0|0.00%|14|0|0.00%|[]
33x87|14|0|0.00%|14|0|0.00%|[]
lavatories|14|0|0.00%|14|0|0.00%|[]
ro-hs|14|0|0.00%|14|0|0.00%|[]
a1000|14|0|0.00%|14|0|0.00%|[]
paintings|14|0|0.00%|14|0|0.00%|['Bullet03', 'Bullet02']
tuband|14|0|0.00%|14|0|0.00%|[]
screwdrivers|14|0|0.00%|14|0|0.00%|['Bullet07', 'Bullet08']
reseed|14|0|0.00%|14|0|0.00%|[]
electrodes|14|0|0.00%|14|0|0.00%|[]
balancing|15|1|6.67%|14|15|100.00%|[]
mechanic|15|1|6.67%|14|15|100.00%|['Multiple Tool Set Type']
year|15|1|6.67%|14|4|26.67%|['Bullet03', 'Bullet04']
essence|15|1|6.67%|14|1|6.67%|['Color/Finish']
oliver|15|1|6.67%|14|1|6.67%|[]
expanding|15|1|6.67%|14|1|6.67%|['Bullet05']
flute|15|1|6.67%|14|1|6.67%|[]
stink|15|1|6.67%|14|1|6.67%|['Bullet03']
tabletop|15|1|6.67%|14|1|6.67%|['Air Treatment Product Type']
states|15|1|6.67%|14|1|6.67%|[]
disk|15|1|6.67%|14|1|6.67%|[]
complete|15|1|6.67%|14|1|6.67%|[]
edl|15|1|6.67%|14|1|6.67%|['Bullet02', 'Bullet01', 'Bullet04']
pr100|15|1|6.67%|14|1|6.67%|[]
50amp|15|1|6.67%|14|1|6.67%|[]
letters|15|1|6.67%|14|1|6.67%|['Bullet05', 'Bullet02']
recirculating|15|1|6.67%|14|1|6.67%|['Product Type']
trailers|15|1|6.67%|14|1|6.67%|['Bullet04', 'MFG Brand Name', 'Bullet02']
form|16|2|12.50%|14|4|25.00%|['Bullet03']
interlock|16|2|12.50%|14|2|12.50%|['Bullet01']
dricore|16|2|12.50%|14|2|12.50%|[]
reusable|16|2|12.50%|14|2|12.50%|['Bullet03']
terrain|17|3|17.65%|14|17|100.00%|['Bullet01', 'Bullet02']
shape|17|3|17.65%|14|11|64.71%|['Bullet07']
raceway|17|3|17.65%|14|4|23.53%|['Electrical Product Type']
felt|17|3|17.65%|14|4|23.53%|['Builders Hardware Product Type', 'Bullet01', 'Bullet02', 'Material', 'Bullet03', 'Roofing Product Type']
photocell|17|3|17.65%|14|3|17.65%|['Bullet09']
desoldering|17|3|17.65%|14|3|17.65%|[]
in-use|18|4|22.22%|14|8|44.44%|['Bullet07']
wrapping|18|4|22.22%|14|4|22.22%|['Bullet03', 'Storage Product Type', 'Bullet01']
gifts|18|4|22.22%|14|4|22.22%|['MFG Brand Name']
hemlock|18|4|22.22%|14|4|22.22%|['Color/Finish']
deer|19|5|26.32%|14|15|78.95%|['Pest Type', 'Bullet01', 'Bullet02']
antifreeze|19|5|26.32%|14|6|31.58%|['Fluid Type']
edison|19|5|26.32%|14|5|26.32%|['Bulb Type', 'Bullet01']
carrera|19|5|26.32%|14|5|26.32%|['Bullet02']
brk|19|5|26.32%|14|5|26.32%|['Bullet03', 'MFG Brand Name']
life|20|6|30.00%|14|19|95.00%|['Bullet03']
r30|20|6|30.00%|14|9|45.00%|['Bullet03', 'Light Bulb Shape Code', 'Bullet01']
brake|20|6|30.00%|14|6|30.00%|['Bullet03', 'Bullet04', 'Bullet06', 'Bullet01', 'Bullet02']
wringer|21|7|33.33%|14|11|52.38%|['Bullet01', 'Bullet02', 'Bullet07', 'Bullet04', 'Bullet03', 'Bullet05']
faced|21|7|33.33%|14|8|38.10%|['Faced or Unfaced', 'Bullet04']
coveralls|21|7|33.33%|14|7|33.33%|['Clothing Product Type']
williams|21|7|33.33%|14|7|33.33%|['Bullet03', 'MFG Brand Name', 'Brand/Model Compatibility']
bandsaw|21|7|33.33%|14|7|33.33%|[]
adler|22|8|36.36%|14|8|36.36%|[]
spline|23|9|39.13%|14|10|43.48%|['Bullet03', 'Builders Hardware Product Type', 'Min Chuck Size Required', 'Bullet02']
carpenter|24|10|41.67%|14|14|58.33%|['Bullet03', 'Bullet04', 'Pest Type', 'Bullet01', 'Bullet02']
slot|24|10|41.67%|14|12|50.00%|['Bullet03', 'Bullet01', 'Bullet02']
lacquer|24|10|41.67%|14|10|41.67%|['Paint/Stain/Waterproofer Product Type', 'Color/Finish', 'Frame Finish Family']
heather|25|11|44.00%|14|11|44.00%|['Color/Pattern', 'Cushion Color or Pattern']
braid|25|11|44.00%|14|11|44.00%|['Bullet05', 'Bullet01', 'Bullet02']
cottage|25|11|44.00%|14|11|44.00%|['Bullet06', 'Bullet01', 'Color', 'Style', 'Bullet03', 'Color/Finish']
go|26|12|46.15%|14|25|96.15%|['MFG Brand Name']
rat|26|12|46.15%|14|19|73.08%|['Bullet01', 'Bullet07']
1.4|26|12|46.15%|14|12|46.15%|['Capacity of Microwave (cu. ft.)', 'Bullet01']
eggshell|26|12|46.15%|14|12|46.15%|['Bullet03', 'Color/Finish', 'Sheen', 'Bullet04']
cone|29|15|51.72%|14|15|51.72%|['Product Type', 'Bullet01', 'Safety & Security Product Type', 'Bullet04', 'Bullet03', 'Appliance Type']
cal|30|16|53.33%|14|17|56.67%|['Bullet05', 'Bullet06', 'MFG Brand Name']
package|31|17|54.84%|14|18|58.06%|['Bullet03', 'Bullet10', 'Bullet05', 'Bullet06', 'Bullet07']
solvent|31|17|54.84%|14|18|58.06%|['Cleanup', 'Bullet02']
inswing|32|18|56.25%|14|26|81.25%|['Bullet09', 'Bullet06', 'Bullet07', 'Bullet08']
fish|33|19|57.58%|14|21|63.64%|['Bullet01', 'Artwork name', 'Bullet04', 'Electrical Product Type', 'Fish Tape, Rod or Lubricant', 'Bullet03', 'Color/Finish', 'Kid and Teen Theme']
camper|33|19|57.58%|14|20|60.61%|['Bullet03', 'Color/Finish']
fatmax|33|19|57.58%|14|19|57.58%|['Bullet09', 'MFG Brand Name', 'Bullet01']
paddle|39|25|64.10%|14|25|64.10%|['Bullet01', 'Bullet02', 'Product Type', 'Bullet08', 'Bullet04']
detergent|40|26|65.00%|14|27|67.50%|['Bullet03', 'Bullet05', 'Bullet06', 'Bullet01', 'Bullet02']
potting|41|27|65.85%|14|27|65.85%|['Color/Finish', 'Bullet05', 'Color', 'Soil Type', 'Bullet04']
flushmount|43|29|67.44%|14|29|67.44%|['Bullet01']
ton|44|30|68.18%|14|43|97.73%|['Bullet05', 'Bullet01', 'Bullet02']
java|44|30|68.18%|14|30|68.18%|['Finish', 'Bullet06', 'Bullet01', 'Bullet02', 'Color', 'Bullet07', 'Bullet04', 'Color/Finish', 'Bullet05']
press|44|30|68.18%|14|30|68.18%|['Bullet06', 'Bullet01', 'Bullet02', 'Publisher', 'Bullet07', 'Bullet04', 'Bullet03', 'Bench & Stationary Tool Type', 'Appliance Type']
frosted|44|30|68.18%|14|30|68.18%|['Glass Style', 'Bullet04', 'Shade Color Family', 'Bullet01', 'Bullet02']
america|46|32|69.57%|14|46|100.00%|['Bullet05', 'Type', 'Bullet06', 'MFG Brand Name']
alder|48|34|70.83%|14|34|70.83%|['Bullet06', 'Color Family', 'Bullet01', 'Bullet02', 'Cabinet Color', 'Bullet07', 'Bullet08', 'Bullet03', 'Bullet05', 'Color/Finish']
console|48|34|70.83%|14|34|70.83%|['Bullet06', 'Bullet02', 'Bullet04', 'Bullet05', 'Air Treatment Product Type', 'Features']
ada|50|36|72.00%|14|36|72.00%|['Bullet03', 'Bullet02', 'Certifications and Listings', 'Bullet01', 'Bullet04']
broan|60|46|76.67%|14|57|95.00%|['Bullet03', 'Brand compatibility', 'MFG Brand Name', 'Bullet01', 'Brand/Model Compatibility']
strainer|60|46|76.67%|14|51|85.00%|['Bullet06', 'Bullet01', 'Bullet02', 'Sink Accessory Type', 'Bullet04', 'Bullet03', 'Plumbing Part Type', 'Bullet05']
aqua|60|46|76.67%|14|48|80.00%|['Basin Color', 'Color/Finish', 'Brand/Model Compatibility', 'Top Color']
waterfall|61|47|77.05%|14|54|88.52%|['Bullet06', 'Bullet02', 'Spout Type', 'Bullet07', 'Bullet08', 'Bullet03', 'Color/Finish']
torch|67|53|79.10%|14|60|89.55%|['Bullet06', 'Bullet01', 'Bullet02', 'Bullet09', 'Bullet07', 'Bullet04', 'Welding Supplies Product Type', 'Outdoor Living Product Type', 'Bullet03', 'Color/Finish', 'Application Type', 'Bullet05']
measure|67|53|79.10%|14|59|88.06%|['Bullet10', 'Bullet06', 'Bullet01', 'Bullet09', 'MFG Brand Name', 'Bullet04', 'Bullet03', 'Tools Included']
sample|72|58|80.56%|14|59|81.94%|['Bullet06', 'Bullet01', 'Bullet02', 'Bullet07', 'Bullet08', 'Flooring Product Type']
cove|75|61|81.33%|14|71|94.67%|['Bullet03', 'Flooring Product Type', 'Bullet01', 'Bullet04']
skylight|81|67|82.72%|14|81|100.00%|['Bullet06', 'Bullet01', 'Bullet02', 'Bullet07', 'Bullet04', 'Bullet03', 'Bullet05']
halo|86|72|83.72%|14|72|83.72%|['Collection Name', 'Bullet01', 'Bullet02', 'Bullet09', 'MFG Brand Name', 'Bullet04', 'Bullet03', 'Bullet05']
diverter|87|73|83.91%|14|75|86.21%|['Bullet06', 'Bullet01', 'Bullet02', 'Spout Type', 'Bullet04', 'Trim Type', 'Plumbing Part Type', 'Bullet03', 'Water Type']
coffee|88|74|84.09%|14|74|84.09%|['Bullet06', 'Bullet01', 'Bullet02', 'Kitchen Product Type', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Compatible Product', 'Bullet12', 'Bullet03', 'Bullet05', 'Accessory/Part Type', 'Appliance Type', 'Color/Finish']
daylight|95|81|85.26%|14|81|85.26%|['Bullet10', 'Light Color', 'Bullet09', 'Bullet07', 'Bullet04', 'Bullet08', 'Bullet03', 'Color Temperature']
convection|111|97|87.39%|14|97|87.39%|['Bullet06', 'Bullet01', 'Bullet02', 'Bullet13', 'Lower Oven Features', 'Bullet07', 'Bullet04', 'Bullet12', 'Bullet14', 'Bullet08', 'Bullet11', 'Bullet03', 'Bullet05', 'Bullet17', 'Oven Features', 'Heating Technology Type']
schlage|119|105|88.24%|14|105|88.24%|['Bullet06', 'Bullet01', 'Bullet02', 'Bullet09', 'MFG Brand Name', 'Bullet04', 'Bullet12', 'Bullet08', 'Bullet11', 'Bullet05']
reducer|165|151|91.52%|14|153|92.73%|['Collection Name', 'Bullet01', 'Bullet02', 'Bullet04', 'Electrical Product Type', 'Bullet03', 'Bullet05']
behr|537|523|97.39%|14|523|97.39%|['Bullet02', 'MFG Brand Name', 'Bullet07', 'Bullet04', 'Bullet08', 'Color/Finish']
brushles|13|0|0.00%|13|13|100.00%|[]
rev|13|0|0.00%|13|13|100.00%|[]
edg|13|0|0.00%|13|13|100.00%|[]
decke|13|0|0.00%|13|13|100.00%|[]
waterpi|13|0|0.00%|13|13|100.00%|[]
showe|13|0|0.00%|13|13|100.00%|[]
ni|13|0|0.00%|13|13|100.00%|[]
chrom|13|0|0.00%|13|12|92.31%|[]
dot|13|0|0.00%|13|12|92.31%|[]
memoir|13|0|0.00%|13|11|84.62%|[]
pri|13|0|0.00%|13|11|84.62%|[]
med|13|0|0.00%|13|8|61.54%|[]
3-gal|13|0|0.00%|13|8|61.54%|[]
slant|13|0|0.00%|13|5|38.46%|[]
mh|13|0|0.00%|13|1|7.69%|[]
rj|13|0|0.00%|13|1|7.69%|[]
por|13|0|0.00%|13|1|7.69%|[]
beast|13|0|0.00%|13|1|7.69%|[]
6m|13|0|0.00%|13|1|7.69%|[]
poker|13|0|0.00%|13|1|7.69%|['Bullet01']
sheeti|13|0|0.00%|13|0|0.00%|[]
din|13|0|0.00%|13|0|0.00%|[]
1.5-3|13|0|0.00%|13|0|0.00%|[]
laticrete|13|0|0.00%|13|0|0.00%|[]
toolsg|13|0|0.00%|13|0|0.00%|[]
hb4190|13|0|0.00%|13|0|0.00%|[]
rayoby|13|0|0.00%|13|0|0.00%|[]
shitch|13|0|0.00%|13|0|0.00%|[]
avocado|13|0|0.00%|13|0|0.00%|[]
bast|13|0|0.00%|13|0|0.00%|[]
592565|13|0|0.00%|13|0|0.00%|[]
3.7|13|0|0.00%|13|0|0.00%|[]
scrap|13|0|0.00%|13|0|0.00%|[]
fermaldehyde|13|0|0.00%|13|0|0.00%|[]
436015|13|0|0.00%|13|0|0.00%|[]
jigs|13|0|0.00%|13|0|0.00%|['Primary Use']
12x4|13|0|0.00%|13|0|0.00%|[]
whearehoues|13|0|0.00%|13|0|0.00%|[]
cedan|13|0|0.00%|13|0|0.00%|[]
seamless|13|0|0.00%|13|0|0.00%|[]
balwind|13|0|0.00%|13|0|0.00%|[]
32x46|13|0|0.00%|13|0|0.00%|[]
5501|13|0|0.00%|13|0|0.00%|[]
701743|13|0|0.00%|13|0|0.00%|[]
undercounter|13|0|0.00%|13|0|0.00%|[]
milluakee|13|0|0.00%|13|0|0.00%|[]
4763rln|13|0|0.00%|13|0|0.00%|[]
ragne|13|0|0.00%|13|0|0.00%|[]
fibre|13|0|0.00%|13|0|0.00%|[]
persianas|13|0|0.00%|13|0|0.00%|[]
chcuck|13|0|0.00%|13|0|0.00%|[]
barriar|13|0|0.00%|13|0|0.00%|[]
dcanvas|13|0|0.00%|13|0|0.00%|[]
ptouch|13|0|0.00%|13|0|0.00%|[]
extruded|13|0|0.00%|13|0|0.00%|[]
ridgid10|13|0|0.00%|13|0|0.00%|[]
appearance|13|0|0.00%|13|0|0.00%|['Bullet01']
does|13|0|0.00%|13|0|0.00%|[]
eaters|13|0|0.00%|13|0|0.00%|[]
colbolt|13|0|0.00%|13|0|0.00%|[]
coccrete|13|0|0.00%|13|0|0.00%|[]
refridgerators|13|0|0.00%|13|0|0.00%|[]
hauling|13|0|0.00%|13|0|0.00%|[]
kendalwood|13|0|0.00%|13|0|0.00%|[]
2-5/16|13|0|0.00%|13|0|0.00%|[]
dealer|13|0|0.00%|13|0|0.00%|[]
grecian|13|0|0.00%|13|0|0.00%|[]
60x30|13|0|0.00%|13|0|0.00%|[]
1x100|13|0|0.00%|13|0|0.00%|[]
falanges|13|0|0.00%|13|0|0.00%|[]
handels|13|0|0.00%|13|0|0.00%|[]
granuels|13|0|0.00%|13|0|0.00%|[]
rectangele|13|0|0.00%|13|0|0.00%|[]
saww|13|0|0.00%|13|0|0.00%|[]
dw059|13|0|0.00%|13|0|0.00%|['Bullet09']
deodorizer|13|0|0.00%|13|0|0.00%|['Carpet and Upholstery Cleaner Type', 'Bullet07']
8x30in|13|0|0.00%|13|0|0.00%|[]
leaded|13|0|0.00%|13|0|0.00%|[]
financing|13|0|0.00%|13|0|0.00%|[]
dw077|13|0|0.00%|13|0|0.00%|[]
doooors|13|0|0.00%|13|0|0.00%|[]
vaniteis|13|0|0.00%|13|0|0.00%|[]
mean?|13|0|0.00%|13|0|0.00%|[]
thower|13|0|0.00%|13|0|0.00%|[]
par38,75w|13|0|0.00%|13|0|0.00%|[]
36x12|13|0|0.00%|13|0|0.00%|[]
applying|13|0|0.00%|13|0|0.00%|[]
jogsaw|13|0|0.00%|13|0|0.00%|[]
wires|13|0|0.00%|13|0|0.00%|[]
seateat|13|0|0.00%|13|0|0.00%|[]
tapeexhaust|13|0|0.00%|13|0|0.00%|[]
tourches|13|0|0.00%|13|0|0.00%|[]
5-mil|13|0|0.00%|13|0|0.00%|[]
roles|13|0|0.00%|13|0|0.00%|[]
billet|13|0|0.00%|13|0|0.00%|[]
jeta|13|0|0.00%|13|0|0.00%|[]
grounding|13|0|0.00%|13|0|0.00%|['Electrical Product Type', 'Application type', 'Bullet01']
bloowers|13|0|0.00%|13|0|0.00%|[]
showerz|13|0|0.00%|13|0|0.00%|[]
edged|13|0|0.00%|13|0|0.00%|[]
gardenn|13|0|0.00%|13|0|0.00%|[]
light/|13|0|0.00%|13|0|0.00%|[]
canoply|13|0|0.00%|13|0|0.00%|[]
tintet|13|0|0.00%|13|0|0.00%|[]
unmbrella|13|0|0.00%|13|0|0.00%|[]
rubbered|13|0|0.00%|13|0|0.00%|[]
43156889930|13|0|0.00%|13|0|0.00%|[]
eatrhwise|13|0|0.00%|13|0|0.00%|[]
doorsscreen|13|0|0.00%|13|0|0.00%|[]
drw|13|0|0.00%|13|0|0.00%|[]
andenne|13|0|0.00%|13|0|0.00%|[]
16x16x60boxes|13|0|0.00%|13|0|0.00%|[]
sunk|13|0|0.00%|13|0|0.00%|[]
fan25522|13|0|0.00%|13|0|0.00%|[]
fushion|13|0|0.00%|13|0|0.00%|[]
